NIE,NOMBRE,EDAD,GRUPO
1,Alumno1,1,Grupo1
2,Alumno2,2,Grupo2
3,Alumno3,3,Grupo3
4,Alumno4,4,Grupo4
5,Alumno5,5,Grupo5
6,Alumno6,6,Grupo6
7,Alumno7,7,Grupo7
8,Alumno8,8,Grupo8
9,Alumno9,9,Grupo9
10,Alumno10,10,Grupo10
11,Alumno11,11,Grupo11
12,Alumno12,12,Grupo12
13,Alumno13,13,Grupo13
14,Alumno14,14,Grupo14
15,Alumno15,15,Grupo15
16,Alumno16,16,Grupo16
17,Alumno17,17,Grupo17
18,Alumno18,18,Grupo18
19,Alumno19,19,Grupo19
20,Alumno20,20,Grupo20
21,Alumno21,21,Grupo21
22,Alumno22,22,Grupo22
23,Alumno23,23,Grupo23
24,Alumno24,24,Grupo24
25,Alumno25,25,Grupo25
26,Alumno26,26,Grupo26
27,Alumno27,27,Grupo27
28,Alumno28,28,Grupo28
29,Alumno29,29,Grupo29
30,Alumno30,30,Grupo30
